raceId,totalDNFs,circuitId,countryId,rain,topTenDiversity,driverExpWeightedSum,pitsWeightedSum,preRaceALPCWeightedSum,TCCAPE,clusterMeanWeightedSum,gapWeightedSum
899,6.0,sepang,malaysia,light,6.0,0.0286672090039283,-0.4752702472469782,-0.0199891089999999,50.5,-0.4038830670952381,0.0847622196362917
900,5.0,bahrain,bahrain,none,6.0,-0.0032035972443544,-1.1710695383896723,-0.0192404827751195,101.0,-0.7791365423923445,-0.0314177936832197
901,2.0,shanghai,china,light,7.0,-0.0350744034926372,-1.259918953614556,-0.002922886622465,151.5,-0.9075031546874004,0.058330650417607
902,2.0,catalunya,spain,none,7.0,-0.0669452097409201,-1.2128229384684204,-0.0168026747484619,202.0,-0.6562802074889497,0.0246316734765711
903,7.0,monaco,monaco,light,6.0,-0.0988160159892029,-1.030385240107209,-0.001392445857143,252.5,-0.7114973395714287,-0.0161875881797206
904,8.0,montreal,canada,none,6.0,-0.1306868222374857,-0.8761544910175286,6.0374017315872885e-05,303.0,-1.1121187214155843,-0.05141050974674
905,3.0,spielberg,austria,light,7.0,-0.1625576284857685,-0.9901776129690149,-0.0122333158441558,353.5,-1.107369336017316,-0.0864829162447021
906,5.0,silverstone,united-kingdom,none,5.0,-0.1944284347340513,-0.9832736313904524,-0.0276628673160173,404.0,-0.5480975176572448,0.0037078222884893
907,4.0,hockenheimring,germany,light,7.0,-0.2262992409823341,-0.8803188628149989,-0.0094436039314192,454.5,-0.6366278881408065,-0.0299871196059475
908,6.0,hungaroring,hungary,moderate,7.0,-0.258170047230617,-0.9363724108544528,-0.0051099259740257,505.0,-0.4497268571428571,-0.0099004287804674
909,4.0,spa-francorchamps,belgium,light,5.0,-0.2775399497672581,-0.885335710975033,-0.0004903671007064,555.5,-0.4241690405383914,0.1501542619662046
910,2.0,monza,italy,none,6.0,-0.3204396876527311,-0.8120980977654949,-0.0144435533690285,606.0,-0.8063253156527683,-0.0031329249483502
911,4.0,marina-bay,singapore,light,6.0,-0.3523104939010139,-0.8977925626511603,0.0004489028571429,656.5,-1.362743297904762,-0.085931561508024
912,1.0,suzuka,japan,heavy,5.0,-0.3841813001492967,-0.8800896976165932,-0.0157985099131918,707.0,-0.3866110463836865,0.0202227728829691
913,2.0,sochi,russia,none,6.0,-0.4245898603926987,-1.2657651253410265,-0.0151764948638262,757.5,-0.9881917734962404,-0.0359261548948366
914,3.0,austin,united-states-of-america,none,7.0,-0.5064494930890012,-1.0864018968737943,-0.0230703567303919,807.0,-1.277874740874183,0.0603105643652039
